Name,Price,Storage,Display,Camera,Battery
OnePlus Nord CE 2 Lite 5G,"₹19,969","6 GB RAM, 128 GB ROM",16.74 cm,64MP Rear,5000 mAh
OnePlus Nord CE 2 Lite 5G,"₹21,985","8 GB RAM, 128 GB ROM",16.74 cm,64MP Rear,5000 mAh
OnePlus Nord CE 2 Lite 5G,"₹21,989","8 GB RAM, 128 GB ROM",16.74 cm,64MP Rear,5000 mAh
OnePlus Nord 2 5G,"₹29,899","8 GB RAM, 128 GB ROM",16.33 cm,50MP Rear,4500 mAh
OnePlus Nord 2 5G,"₹33,999","12 GB RAM, 256 GB ROM",16.33 cm,50MP Rear,4500 mAh
OnePlus 10R 5G,"₹38,990","8 GB RAM, 128 GB ROM",17.02 cm,50MP Rear,5000 mAh
OnePlus 9RT 5G,"₹44,984","12 GB RAM, 256 GB ROM",16.81 cm,50MP Rear,4500 mAh
OnePlus Nord CE 2 Lite 5G,"₹19,718","6 GB RAM, 128 GB ROM",16.74 cm,64MP Rear,5000 mAh
OnePlus 9RT 5G,"₹40,999","8 GB RAM, 128 GB ROM",16.81 cm,50MP Rear,4500 mAh
OnePlus 9RT 5G,"₹44,999","12 GB RAM, 256 GB ROM",16.81 cm,50MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹49,999","8 GB RAM, 128 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 5G,"₹42,999","12 GB RAM, 256 GB ROM",16.81 cm,48MP Rear,4500 mAh
OnePlus 8T 5G,"₹35,999","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 8T 5G,"₹36,490","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 8T 5G,"₹37,999","12 GB RAM, 256 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹54,990","12 GB RAM, 256 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9RT 5G,"₹40,980","8 GB RAM, 128 GB ROM",16.81 cm,50MP Rear,4500 mAh
OnePlus 9 5G,"₹42,649","12 GB RAM, 256 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9 5G,"₹42,990","12 GB RAM, 256 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9 5G,"₹39,990","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9 5G,"₹34,999","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9 Pro,"₹54,990","8 GB RAM, 128 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹48,999","8 GB RAM, 128 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹56,999","12 GB RAM, 256 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹56,999","12 GB RAM, 256 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro,"₹49,997","8 GB RAM, 128 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹48,999","8 GB RAM, 128 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus 9 Pro 5G,"₹56,999","12 GB RAM, 256 GB ROM",17.02 cm,48MP Rear,4500 mAh
OnePlus Nord CE 2 5G,"₹24,999","8 GB RAM, 128 GB ROM",16.33 cm,64MP Rear,4500 mAh
OnePlus Nord CE 2 5G,"₹23,999","6 GB RAM, 128 GB ROM",16.33 cm,64MP Rear,4500 mAh
OnePlus Nord 2 5G,"₹34,990","12 GB RAM, 256 GB ROM",16.33 cm,50MP Rear,4500 mAh
OnePlus 10R 5G,"₹39,998","12 GB RAM, 256 GB ROM",17.02 cm,50MP Rear,5000 mAh
OnePlus Nord 2 5G,"₹34,999","12 GB RAM, 256 GB ROM",16.33 cm,50MP Rear,4500 mAh
OnePlus Nord CE 2 5G,"₹24,990","8 GB RAM, 128 GB ROM",16.33 cm,64MP Rear,4500 mAh
OnePlus 10R 5G,"₹43,999","12 GB RAM, 256 GB ROM",17.02 cm,50MP Rear,4500 mAh
OnePlus 9R 5G,"₹33,999","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 10 Pro 5G,"₹69,990","12 GB RAM, 256 GB ROM",17.02 cm,48MP Rear,5000 mAh
OnePlus Nord CE 2 5G,"₹23,990","6 GB RAM, 128 GB ROM",16.33 cm,64MP Rear,4500 mAh
OnePlus 9R 5G,"₹37,999","12 GB RAM, 256 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 8,"₹34,999","8 GB RAM, 128 GB ROM",16.64 cm,"48MP + 2MP + 16MP Rear, 16MP Front",4300 mAh
OnePlus 7T Pro,"₹34,999","8 GB RAM, 256 GB ROM",16.94 cm,"48MP +8MP+16MP Rear, 16MP Dual Front",4085 mAh
OnePlus Nord CE 5G,"₹27,999","12 GB RAM, 256 GB ROM",16.33 cm,64MP Rear,4500 mAh
OnePlus Nord 2 5G,"₹34,999","12 GB RAM, 256 GB ROM",16.33 cm,50MP Rear,4500 mAh
OnePlus 9R 5G,"₹38,999","12 GB RAM, 256 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 9R 5G,"₹33,999","8 GB RAM, 128 GB ROM",16.64 cm,48MP Rear,4500 mAh
OnePlus 8,"₹34,999","12 GB RAM, 256 GB ROM",16.64 cm,"48MP + 2MP + 16MP Rear, 16MP Front",4300 mAh
OnePlus 8,"₹44,999","8 GB RAM, 128 GB ROM",16.64 cm,"48MP + 2MP + 16MP Rear, 16MP Front",4300 mAh
OnePlus 8,"₹41,999","6 GB RAM, 128 GB ROM",16.64 cm,48MP,4300 mAh
